like1,paralpha_bf,parbf_max,pardep_bot,pardep_wt,parflo_dist,parflo_min,pargw_flo,parno3_n,parrchg_dp,parrevap,parrevap_min,parspec_yld,parhl_no3n,parcn_a,parcn_b,parcn_c,parcn_d,parcan_max,parcn3_swf,parepco,paresco,parlat_ttime,parlatq_co,parperco,parpet_co,parexp_co,parfr_hum_act,parhum_c_n,parnitrate,parovn,pardenit_exp,pardenit_frac,parevap_adj,parlai_noevap,parmsk_co1,parmsk_co2,parmsk_x,parn_fix_max,parn_perc,parn_uptake,parnperco_lchtile,parorgn_min,parrsd_cover,parrsd_decay,parrsd_decomp,parscoef,parsurq_exp,parsurq_lag,parsw_init,parcov50,parfall_tmp,parmelt_max_min,parmelt_tmp,parsnow_h2o,parsnow_init,partmp_lag,pardist,pardp,pardrain,parlag,parlat_kast,parpump,parrad,part_fc,parfert_5,parfert_6,parfert_7,parrsd_init,parawc,parsoil_k,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,chain
-318248.06,0.0065033203,0.15664615,5.494091,5.860971,197.24223,36.176304,0.8847092,352.97357,0.35221267,0.09658103,30.963287,0.43632835,118.164734,50.262703,73.631294,81.90812,83.49833,43.24503,0.2658438,0.07150405,0.4644777,161.3191,0.5370792,0.9650236,1.0221246,0.5531872,0.17619102,8.560836,31.635834,0.28432885,0.7019678,0.6690323,0.63287115,3.9818292,9.761276,2.2361383,0.11885723,19.969687,0.47336352,41.893658,0.7563292,0.0026452139,0.22723329,0.004888077,0.086477384,0.74906653,1.8188908,20.637371,0.42181775,0.26101536,-4.897605,1.1560918,3.718412,185.31776,670.7367,0.57732207,8540.986,1159.7739,46.84031,70.27107,1.2349871,7.1963434,15.041109,22.057905,199.28313,354.9301,663.34753,1063.987,0.7622422,944.8595,0.0,0.0,1694117.6,121824.195,0.0,0.0,0.0,0.0,0.0,0.0,1002964.8,1540.931,22388.82,0.0,7342.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75324.336,0.0,90914.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.286,0.0,1.0
-19928.672,0.37711036,1.9358416,8.965382,7.2484517,169.61136,3.7101126,1.3323059,116.98316,0.75368625,0.18997392,1.728879,0.013928195,33.747498,54.125973,50.917213,80.302536,87.49115,47.930725,0.23650801,0.27657023,0.32778552,52.158913,0.20806234,0.20487787,0.95831716,0.052300934,0.8837095,11.440235,37.7349,0.29649007,0.5056404,0.6956124,0.9198496,7.686557,0.66057336,4.8887854,0.059923623,9.51789,0.8812439,77.15858,0.9058774,0.0019900666,0.32729408,0.020967493,0.025024766,0.9455804,2.8955586,11.371736,0.2921865,0.32004994,1.5851249,4.556303,1.1820468,348.18314,82.891304,0.36212727,15632.534,2067.4465,17.307522,94.64822,2.3857906,0.16379856,7.878953,10.930969,433.67487,169.14162,936.6022,4592.3564,0.13024375,726.9032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-3090665.8,0.49033612,0.8613715,6.3269453,3.2471128,195.0043,23.171108,1.4154804,953.11194,0.97614676,0.041056532,8.492987,0.4612398,174.01236,50.47964,74.39826,70.4032,84.04585,12.973466,0.35201374,0.8528428,0.59851766,33.919132,0.14470418,0.4577233,1.1424893,0.18502407,0.8439222,11.503427,41.897026,0.5180361,2.6563356,0.031068604,0.9861236,0.29437724,0.2405818,5.3861585,0.112314165,15.699852,0.16839719,60.51333,0.7540649,0.0012002534,0.22493142,0.017858006,0.07241134,0.77175266,1.3178728,21.967821,0.66346973,0.037025213,-0.19630249,1.2394717,-4.887399,115.329216,134.87772,0.21542881,15917.102,545.8191,49.9767,2.658884,0.83900917,4.700006,4.50981,0.8177547,62.09786,230.70847,380.5845,2337.8088,0.1864766,952.19574,3658351.5,2896134.5,13438912.0,10008075.0,5637722.5,2945625.5,719524.1,48765.934,36710.414,31362.479,244192.23,796208.1,1192771.2,672661.7,436899.25,308639.4,480770.47,414147.88,301841.2,97169.3,50941.367,35532.055,25017.469,19125.674,97894.44,95719.01,145482.02,365200.66,203221.61,110675.1,8973.657,725.144,725.144,1087.716,1269.002,3444.434,1.0
-19928.672,0.88703454,1.3012457,1.5893813,7.6676183,100.231674,29.293074,0.4525719,279.86978,0.45210043,0.089615166,12.336525,0.4861313,24.515295,65.970116,56.8089,73.06126,86.44852,10.385249,0.12435309,0.32155478,0.3704615,61.085655,0.31838465,0.4129673,0.79061687,0.5100236,0.8989539,9.529892,13.775836,0.2939116,2.4858158,0.88461244,0.75016946,1.8183494,1.389886,2.4471605,0.08513284,16.411274,0.012543615,45.251408,0.5566565,0.0027377224,0.25220183,0.0055410876,0.08458046,0.82162106,1.9524046,5.049963,0.10169333,0.45209676,2.3276682,1.8821088,-2.422307,363.64133,934.8016,0.33296302,16264.859,1358.961,15.535198,6.7500024,1.9516779,9.006808,7.225901,31.113382,200.68246,99.94291,137.80638,2233.6594,0.52616787,246.77763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-19852.021,0.105647296,0.62306523,7.620604,0.26200446,116.57435,16.581778,1.5119407,55.319073,0.22874129,0.05635369,24.170858,0.4023743,60.10919,33.85073,71.55411,70.45184,88.25508,69.21303,0.72107357,0.9380834,0.7210138,27.19897,0.5190775,0.530205,1.2220129,0.9787917,0.78291273,10.393847,62.45193,0.50326186,2.1623578,0.32922012,0.63233894,8.527082,6.829979,5.3647504,0.11295929,9.129834,0.71436596,1.8943353,0.51118064,0.0013029947,0.33890864,0.003458613,0.0725631,0.14844294,1.7675043,13.173456,0.040766746,0.7948592,4.5635858,4.529347,-1.0898511,84.543785,553.0481,0.77971774,26976.086,3735.1968,24.958212,15.359109,0.32466948,5.076495,25.604183,59.016666,551.0134,390.25906,857.03705,2578.2532,0.9740227,1962.6013,90.643,90.643,725.144,725.144,453.215,90.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-19928.672,0.27105504,0.49494055,2.6194055,3.8264058,42.49198,43.257427,1.6916903,194.30363,0.96874547,0.15074117,13.565049,0.10149693,125.03473,48.033493,60.66226,76.48679,93.17751,59.28628,0.4006555,0.39103925,0.49342823,168.27719,0.25931185,0.81355876,0.96510416,0.7428166,0.5803479,8.357698,45.728287,0.39466178,0.97318465,0.6135615,0.50765383,8.002503,5.7750545,2.979195,0.028840682,16.298668,0.40968278,32.41336,0.88050145,0.002582208,0.46640977,0.03193961,0.05759267,0.63766253,2.6286888,4.141725,0.0010811174,0.8195038,-3.700683,6.848093,0.43460903,400.58646,318.79852,0.045099214,27672.734,2205.3577,47.10331,27.396393,2.7743287,8.742439,35.050556,47.933067,386.64856,975.00037,374.65518,8993.264,0.40729088,1207.7439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-19928.672,0.36862594,1.6794869,7.4251785,2.0029151,41.021156,22.647655,1.7485634,684.6554,0.1814851,0.16978678,35.304607,0.01721084,90.20163,54.689743,51.092693,89.968094,83.0767,24.709354,0.13337159,0.3557236,0.21806924,32.411354,0.63884914,0.33866602,0.86731035,0.0588286,0.3682166,8.905009,92.91546,0.028559249,2.406202,0.2113826,0.8732681,8.659061,2.9269602,3.5459552,0.13418953,3.1427212,0.47505254,96.98549,0.59236956,0.0025483533,0.15689255,0.046115518,0.07162857,0.28808495,2.3441198,21.074583,0.31841874,0.52516365,-2.313553,4.509011,-1.356482,92.15166,796.55646,0.80431086,23536.67,2640.971,33.976524,33.75101,2.7539773,6.602143,16.734245,32.75102,529.1679,2.8828492,542.58575,7532.9844,0.16632,96.13446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-19826.508,0.1757373,1.683001,5.912921,8.345993,139.9005,25.71079,0.9263182,379.44528,0.40529305,0.16185145,5.383919,0.25030738,110.853294,55.32957,59.832134,74.30063,89.11091,36.06408,0.8492787,0.6739305,0.06625974,62.926525,0.73867327,0.5956723,0.94759846,0.47733563,0.8344155,9.637781,92.153244,0.5699559,0.42690432,0.7253057,0.5897991,2.7372494,0.9584974,0.043471914,0.21981405,19.404795,0.9169685,28.422232,0.06882874,0.0011477321,0.321167,0.027854891,0.05641759,0.40520135,1.4726447,5.933936,0.27920535,0.36664784,1.6285868,9.283637,-0.37781715,411.20602,800.4597,0.84798294,11686.669,4126.7246,17.883007,27.614622,1.11183,5.4974184,28.082531,7.3542852,442.1367,804.79645,977.876,4801.1216,0.3049292,1934.9453,453.215,25742.611,62453.027,30637.334,8067.227,1359.645,0.0,181.286,90.643,5710.509,91005.57,56379.945,5529.223,453.215,22932.68,38613.918,19216.316,54476.44,2266.075,90.643,271.929,725.144,1359.645,9608.158,39429.703,15862.525,120736.48,4169.578,21119.818,90.643,90.643,0.0,271.929,16497.025,32087.621,12055.519,1.0
-19928.672,0.8558257,1.5307424,2.0500507,4.4125967,114.18249,39.151577,0.9870288,752.8097,0.91880435,0.17368187,35.95392,0.41989383,191.26631,43.39608,64.69065,86.19634,93.438774,73.500145,0.6510182,0.34100342,0.09084519,30.121914,0.81599987,0.019203078,1.2439824,0.54684484,0.30241343,10.990601,42.42006,0.31288782,1.5948423,0.6860656,0.5982339,5.6968937,3.4869673,9.984105,0.15848877,17.579142,0.48680386,72.009125,0.66102797,0.00215839,0.118982375,0.03399009,0.06768309,0.489662,1.228812,22.465633,0.07852221,0.4019173,0.9606799,0.18904252,2.9412363,464.20392,723.285,0.4386741,26134.46,1751.1255,35.600986,4.752537,0.73609775,9.521267,24.111156,17.021828,350.94077,213.77763,205.21579,7965.32,0.72534597,51.05724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-370090.0,0.018351391,0.5445337,5.072855,7.5739546,49.26759,27.791029,0.6945782,994.4828,0.24286848,0.15856068,36.143932,0.031421673,54.15472,54.86023,52.720592,84.25162,82.61975,5.719181,0.9503908,0.7811897,0.33931062,106.8287,0.47708112,0.5968584,1.2812041,0.7007207,0.68643624,11.5836735,83.64343,0.2199418,0.2836963,0.5526069,0.5881115,0.061707206,0.30805603,8.816428,0.0502233,9.613573,0.1780318,36.84502,0.61722726,0.0013277031,0.43084905,0.028962558,0.05181256,0.44661406,2.128683,2.023057,0.1242766,0.5277397,-3.9280236,6.338655,3.9991527,254.23744,127.31804,0.28229135,10611.419,3768.783,35.295704,64.6926,2.6305215,2.4434538,4.813022,4.508345,68.830894,244.58916,365.64502,3296.7476,0.029989054,13.397439,0.0,0.0,181.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2164645.5,170136.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692965.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.643,1087.716,282896.8,1.0
