 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    31     1    31  2018       1       1  Huron                     0.017         23.220       2738.709          1.378          0.066          0.339          4.995          0.000          0.500          0.000          3.823          3.607          0.000          0.001          0.017          0.000          0.000
    59     2    28  2018       1       1  Huron                     0.030         23.204       2739.471          1.526          0.073          0.612          5.061          0.000          0.500          0.000          3.800          3.300          0.000          0.001          0.030          0.000          0.000
    90     3    31  2018       1       1  Huron                     0.181         23.158       2741.631          4.148          0.198          0.836          6.739          0.000          0.500          0.000          6.443          4.866          0.003          0.004          0.181          0.000          0.000
   120     4    30  2018       1       1  Huron                     0.741         23.101       2744.279          4.946          0.236          1.527          7.560          0.000          0.500          0.000          5.760          5.282          0.016          0.005          0.741          0.000          0.000
   151     5    31  2018       1       1  Huron                     1.046         23.071       2745.577          4.559          0.217          2.898          7.086          0.000          0.500          0.000          4.179          5.116          0.023          0.005          1.046          0.000          0.000
   181     6    30  2018       1       1  Huron                     0.273         23.070       2745.575          2.813          0.134          2.915          5.869          0.000          0.500          0.000          2.650          4.101          0.006          0.002          0.273          0.000          0.000
   212     7    31  2018       1       1  Huron                     0.013         23.099       2744.069          0.903          0.043          3.188          4.145          0.000          0.500          0.000          0.914          2.993          0.000          0.001          0.013          0.000          0.000
   243     8    31  2018       1       1  Huron                     0.000         23.151       2741.460          0.116          0.006          2.714          2.193          0.000          0.500          0.000          0.050          1.584          0.000          0.000          0.000          0.000          0.000
   273     9    30  2018       1       1  Huron                     0.005         23.196       2739.244          0.120          0.006          1.945          1.124          0.000          0.500          0.000          0.065          0.785          0.000          0.000          0.005          0.000          0.000
   304    10    31  2018       1       1  Huron                     0.015         23.226       2737.732          0.172          0.008          1.231          0.625          0.000          0.500          0.000          0.148          0.451          0.000          0.000          0.015          0.000          0.000
   334    11    30  2018       1       1  Huron                     0.036         23.226       2737.724          1.444          0.069          0.409          2.373          0.000          0.500          0.000          5.192          1.658          0.001          0.001          0.036          0.000          0.000
   365    12    31  2018       1       1  Huron                     0.066         23.196       2739.182          2.437          0.116          0.372          5.277          0.000          0.500          0.000          5.909          3.810          0.002          0.002          0.066          0.000          0.000
    31     1    31  2019       1       1  Huron                     0.135         23.148       2741.508          3.061          0.146          0.301          6.344          0.000          0.500          0.000          4.720          4.581          0.004          0.003          0.135          0.000          0.000
    59     2    28  2019       1       1  Huron                     0.206         23.110       2743.308          2.050          0.098          0.503          6.057          0.000          0.500          0.000          3.488          3.950          0.004          0.002          0.206          0.000          0.000
    90     3    31  2019       1       1  Huron                     0.281         23.089       2744.263          1.940          0.092          0.935          5.254          0.000          0.500          0.000          2.745          3.794          0.004          0.001          0.281          0.000          0.000
   120     4    30  2019       1       1  Huron                     0.334         23.078       2744.726          2.896          0.138          1.747          4.491          0.000          0.500          0.000          2.803          3.138          0.005          0.002          0.334          0.000          0.000
   151     5    31  2019       1       1  Huron                     1.261         23.055       2745.672          4.541          0.216          2.559          4.575          0.000          0.500          0.000          3.451          3.303          0.019          0.003          1.261          0.000          0.000
   181     6    30  2019       1       1  Huron                     0.814         23.049       2745.836          4.047          0.193          2.843          4.564          0.000          0.500          0.000          3.406          3.189          0.013          0.003          0.814          0.000          0.000
