 Huron                    
  SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2020       1    crgr                                            15690.645    7060.790     282.432      42.365
   366    12    31  2020       2    crgr                                            14181.145    6381.515     255.261      38.289
   366    12    31  2020       3    crgr                                            14466.152    6509.768     260.391      39.059
   366    12    31  2020       4    crgr                                            15720.996    7074.449     282.978      42.447
   366    12    31  2020       5    crgr                                             9282.714    4177.221     167.089      25.063
   366    12    31  2020       6    crgr                                            15125.825    6806.621     272.265      40.840
   366    12    31  2020       7    crgr                                            13089.813    5890.416     235.617      35.342
   366    12    31  2020       8    crgr                                            14632.439    6584.598     263.384      39.508
   366    12    31  2020       9    crgr                                            15466.442    6959.898     278.396      41.759
   366    12    31  2020      10    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      11    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      12    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      13    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      14    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      15    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      16    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      17    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      18    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      19    crgr                                            14286.071    6428.732     257.149      38.572
   366    12    31  2020      20    crgr                                             9300.230    4185.104     167.404      25.111
   366    12    31  2020      21    crgr                                            15500.764    6975.343     279.014      41.852
   366    12    31  2020      22    crgr                                            12666.994    5700.147     228.006      34.201
   366    12    31  2020      23    crgr                                            14453.038    6503.867     260.155      39.023
   366    12    31  2020      24    crgr                                            13957.250    6280.762     251.230      37.685
   366    12    31  2020      25    crgr                                            13920.833    6264.375     250.575      37.586
   366    12    31  2020      26    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      27    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      28    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      29    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      30    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      31    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      32    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      54    crgr                                            14348.335    6456.750     258.270      38.741
   366    12    31  2020      55    crgr                                            15685.475    7058.463     282.339      42.351
   366    12    31  2020      56    crgr                                            10390.130    4675.558     187.022      28.053
   366    12    31  2020      57    crgr                                            15084.056    6787.825     271.513      40.727
