 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    31     1    31  2018       1      10  aqu010                    0.001          6.918          0.000          0.001          0.000          0.000          0.021          0.000          0.500          0.000          0.000          0.015          0.000          0.000          0.001          0.000          0.000
    31     1    31  2018       2      20  aqu020                    0.004          6.918          0.000          0.004          0.000          0.000          0.010          0.000          0.500          0.000          0.000          0.007          0.000          0.000          0.004          0.000          0.000
    31     1    31  2018       3      30  aqu030                    0.032          6.918          0.000          0.032          0.000          0.000          0.012          0.000          0.500          0.000          0.001          0.008          0.000          0.000          0.032          0.000          0.000
    31     1    31  2018       4      40  aqu040                    0.001          6.918          0.000          0.001          0.000          0.000          0.018          0.000          0.500          0.000          0.000          0.013          0.000          0.000          0.001          0.000          0.000
    31     1    31  2018       5      50  aqu050                    0.009          6.918          0.000          0.009          0.000          0.000          0.010          0.000          0.500          0.000          0.000          0.007          0.000          0.000          0.009          0.000          0.000
    31     1    31  2018       6      60  aqu060                    0.001          6.918          0.000          0.001          0.000          0.000          0.006          0.000          0.500          0.000          0.000          0.004          0.000          0.000          0.001          0.000          0.000
    31     1    31  2018       7      70  aqu070                    0.000          6.918          0.000          0.000          0.000          0.000          0.007          0.000          0.500          0.000          0.000          0.005          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       8      80  aqu080                    0.001          6.918          0.000          0.001          0.000          0.000          0.021          0.000          0.500          0.000          0.000          0.015          0.000          0.000          0.001          0.000          0.000
    31     1    31  2018       9      90  aqu090                    0.003          6.918          0.000          0.003          0.000          0.000          0.011          0.000          0.500          0.000          0.000          0.008          0.000          0.000          0.003          0.000          0.000
    31     1    31  2018      10     100  aqu100                    0.005          6.918          0.000          0.005          0.000          0.000          0.017          0.000          0.500          0.000          0.000          0.012          0.000          0.000          0.005          0.000          0.000
    31     1    31  2018      11     110  aqu110                    0.000          6.918          0.000          0.000          0.000          0.000          0.013          0.000          0.500          0.000          0.000          0.009          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018      12     120  aqu120                    0.000          6.918          0.000          0.000          0.000          0.000          0.013          0.000          0.500          0.000          0.000          0.009          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018      13     130  aqu130                    0.000          6.918          0.000          0.000          0.000          0.000          0.014          0.000          0.500          0.000          0.000          0.010          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018      14     140  aqu140                    0.001          6.918          0.000          0.001          0.000          0.000          0.022          0.000          0.500          0.000          0.000          0.016          0.000          0.000          0.001          0.000          0.000
    31     1    31  2018      15     150  aqu150                    0.000          6.918          0.000          0.000          0.000          0.000          0.004          0.000          0.500          0.000          0.000          0.003          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018      16     160  aqu160                    0.007          6.918          0.000          0.007          0.000          0.000          0.010          0.000          0.500          0.000          0.001          0.007          0.000          0.000          0.007          0.000          0.000
    31     1    31  2018      17     170  aqu170                    0.014          6.918          0.000          0.014          0.000          0.000          0.017          0.000          0.500          0.000          0.001          0.012          0.000          0.000          0.014          0.000          0.000
