 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    31     1    31  2018       1       1  Huron                     0.005         13.835          0.000          0.005          0.000          0.000          0.015          0.000          0.500          0.000          0.000          0.011          0.000          0.000          0.005          0.000          0.000
    59     2    28  2018       1       1  Huron                     0.088         13.835          0.000          0.113          0.025          0.000          0.009          0.000          0.500          0.000          0.011          0.006          0.000          0.000          0.076          0.000          0.000
    90     3    31  2018       1       1  Huron                     0.266         13.835          0.000          0.331          0.065          0.000          0.036          0.000          0.500          0.000          0.066          0.026          0.000          0.000          0.241          0.000          0.000
   120     4    30  2018       1       1  Huron                     0.400         13.835          0.000          0.468          0.068          0.000          0.093          0.000          0.500          0.000          0.120          0.065          0.000          0.000          0.370          0.000          0.000
   151     5    31  2018       1       1  Huron                     0.331         13.835          0.000          0.388          0.057          0.000          0.134          0.000          0.500          0.000          0.113          0.096          0.000          0.000          0.306          0.000          0.000
   181     6    30  2018       1       1  Huron                     0.042         13.835          0.000          0.042          0.000          0.000          0.092          0.000          0.500          0.000          0.002          0.065          0.000          0.000          0.042          0.000          0.000
   212     7    31  2018       1       1  Huron                     0.005         13.835          0.000          0.005          0.000          0.000          0.046          0.000          0.500          0.000          0.000          0.033          0.000          0.000          0.005          0.000          0.000
   243     8    31  2018       1       1  Huron                     0.001         13.835          0.000          0.001          0.000          0.000          0.023          0.000          0.500          0.000          0.000          0.016          0.000          0.000          0.001          0.000          0.000
   273     9    30  2018       1       1  Huron                     0.092         13.835          0.000          0.107          0.016          0.000          0.011          0.000          0.500          0.000          0.001          0.008          0.000          0.000          0.084          0.000          0.000
   304    10    31  2018       1       1  Huron                     0.115         13.835          0.000          0.133          0.018          0.000          0.007          0.000          0.500          0.000          0.002          0.005          0.000          0.000          0.107          0.000          0.000
   334    11    30  2018       1       1  Huron                     0.270         13.835          0.000          0.304          0.034          0.000          0.007          0.000          0.500          0.000          0.007          0.005          0.000          0.000          0.254          0.000          0.000
   365    12    31  2018       1       1  Huron                     0.160         13.835          0.000          0.190          0.029          0.000          0.008          0.000          0.500          0.000          0.010          0.006          0.000          0.000          0.149          0.000          0.000
    31     1    31  2019       1       1  Huron                     0.118         13.835          0.000          0.123          0.005          0.000          0.012          0.000          0.500          0.000          0.006          0.009          0.000          0.000          0.116          0.000          0.000
    59     2    28  2019       1       1  Huron                     0.008         13.835          0.000          0.008          0.000          0.000          0.007          0.000          0.500          0.000          0.000          0.005          0.000          0.000          0.008          0.000          0.000
    90     3    31  2019       1       1  Huron                     0.089         13.835          0.000          0.120          0.031          0.000          0.007          0.000          0.500          0.000          0.025          0.005          0.000          0.000          0.076          0.000          0.000
   120     4    30  2019       1       1  Huron                     0.534         13.835          0.000          0.608          0.074          0.000          0.062          0.000          0.500          0.000          0.152          0.043          0.000          0.000          0.501          0.000          0.000
   151     5    31  2019       1       1  Huron                     0.493         13.835          0.000          0.537          0.044          0.000          0.148          0.000          0.500          0.000          0.107          0.107          0.000          0.000          0.475          0.000          0.000
   181     6    30  2019       1       1  Huron                     0.423         13.835          0.000          0.499          0.076          0.000          0.121          0.000          0.500          0.000          0.048          0.085          0.000          0.000          0.393          0.000          0.000
   212     7    31  2019       1       1  Huron                     0.164         13.835          0.000          0.180          0.016          0.000          0.069          0.000          0.500          0.000          0.001          0.050          0.000          0.000          0.155          0.000          0.000
   243     8    31  2019       1       1  Huron                     0.048         13.835          0.000          0.050          0.002          0.000          0.034          0.000          0.500          0.000          0.000          0.024          0.000          0.000          0.047          0.000          0.000
   273     9    30  2019       1       1  Huron                     0.031         13.835          0.000          0.040          0.010          0.000          0.017          0.000          0.500          0.000          0.000          0.012          0.000          0.000          0.026          0.000          0.000
   304    10    31  2019       1       1  Huron                     0.108         13.835          0.000          0.128          0.019          0.000          0.009          0.000          0.500          0.000          0.001          0.006          0.000          0.000          0.099          0.000          0.000
   334    11    30  2019       1       1  Huron                     0.122         13.835          0.000          0.129          0.006          0.000          0.006          0.000          0.500          0.000          0.002          0.004          0.000          0.000          0.120          0.000          0.000
   365    12    31  2019       1       1  Huron                     0.070         13.835          0.000          0.083          0.013          0.000          0.004          0.000          0.500          0.000          0.002          0.003          0.000          0.000          0.064          0.000          0.000
    31     1    31  2020       1       1  Huron                     0.171         13.835          0.000          0.191          0.020          0.000          0.005          0.000          0.500          0.000          0.006          0.004          0.000          0.000          0.161          0.000          0.000
    60     2    29  2020       1       1  Huron                     0.024         13.835          0.000          0.025          0.001          0.000          0.004          0.000          0.500          0.000          0.001          0.003          0.000          0.000          0.023          0.000          0.000
    91     3    31  2020       1       1  Huron                     0.397         13.835          0.000          0.490          0.093          0.000          0.009          0.000          0.500          0.000          0.043          0.007          0.000          0.000          0.356          0.000          0.000
   121     4    30  2020       1       1  Huron                     0.427         13.835          0.000          0.475          0.048          0.000          0.059          0.000          0.500          0.000          0.081          0.041          0.000          0.000          0.409          0.000          0.000
   152     5    31  2020       1       1  Huron                     0.482         13.835          0.000          0.566          0.084          0.000          0.108          0.000          0.500          0.000          0.124          0.078          0.000          0.000          0.448          0.000          0.000
   182     6    30  2020       1       1  Huron                     0.084         13.835          0.000          0.084          0.000          0.000          0.091          0.000          0.500          0.000          0.002          0.064          0.000          0.000          0.084          0.000          0.000
   213     7    31  2020       1       1  Huron                     0.007         13.835          0.000          0.007          0.000          0.000          0.046          0.000          0.500          0.000          0.000          0.033          0.000          0.000          0.007          0.000          0.000
   244     8    31  2020       1       1  Huron                     0.002         13.835          0.000          0.002          0.000          0.000          0.022          0.000          0.500          0.000          0.000          0.016          0.000          0.000          0.002          0.000          0.000
   274     9    30  2020       1       1  Huron                     0.004         13.835          0.000          0.006          0.001          0.000          0.011          0.000          0.500          0.000          0.000          0.008          0.000          0.000          0.003          0.000          0.000
   305    10    31  2020       1       1  Huron                     0.191         13.835          0.000          0.224          0.033          0.000          0.006          0.000          0.500          0.000          0.002          0.004          0.000          0.000          0.174          0.000          0.000
   335    11    30  2020       1       1  Huron                     0.165         13.835          0.000          0.187          0.022          0.000          0.005          0.000          0.500          0.000          0.003          0.003          0.000          0.000          0.156          0.000          0.000
   366    12    31  2020       1       1  Huron                     0.111         13.835          0.000          0.113          0.002          0.000          0.005          0.000          0.500          0.000          0.003          0.003          0.000          0.000          0.110          0.000          0.000
    31     1    31  2021       1       1  Huron                     0.013         13.835          0.000          0.013          0.001          0.000          0.003          0.000          0.500          0.000          0.000          0.002          0.000          0.000          0.013          0.000          0.000
    59     2    28  2021       1       1  Huron                     0.002         13.835          0.000          0.002          0.000          0.000          0.002          0.000          0.500          0.000          0.000          0.001          0.000          0.000          0.002          0.000          0.000
    90     3    31  2021       1       1  Huron                     0.081         13.835          0.000          0.092          0.010          0.000          0.002          0.000          0.500          0.000          0.004          0.001          0.000          0.000          0.077          0.000          0.000
   120     4    30  2021       1       1  Huron                     0.199         13.835          0.000          0.239          0.041          0.000          0.018          0.000          0.500          0.000          0.063          0.012          0.000          0.000          0.180          0.000          0.000
   151     5    31  2021       1       1  Huron                     0.422         13.835          0.000          0.476          0.054          0.000          0.088          0.000          0.500          0.000          0.083          0.064          0.000          0.000          0.397          0.000          0.000
   181     6    30  2021       1       1  Huron                     0.046         13.835          0.000          0.048          0.003          0.000          0.053          0.000          0.500          0.000          0.001          0.037          0.000          0.000          0.044          0.000          0.000
   212     7    31  2021       1       1  Huron                     0.230         13.835          0.000          0.264          0.034          0.000          0.027          0.000          0.500          0.000          0.000          0.019          0.000          0.000          0.212          0.000          0.000
   243     8    31  2021       1       1  Huron                     0.048         13.835          0.000          0.052          0.004          0.000          0.013          0.000          0.500          0.000          0.000          0.010          0.000          0.000          0.047          0.000          0.000
   273     9    30  2021       1       1  Huron                     0.122         13.835          0.000          0.144          0.023          0.000          0.007          0.000          0.500          0.000          0.001          0.005          0.000          0.000          0.112          0.000          0.000
   304    10    31  2021       1       1  Huron                     0.075         13.835          0.000          0.085          0.009          0.000          0.004          0.000          0.500          0.000          0.001          0.003          0.000          0.000          0.071          0.000          0.000
   334    11    30  2021       1       1  Huron                     0.041         13.835          0.000          0.042          0.001          0.000          0.003          0.000          0.500          0.000          0.001          0.002          0.000          0.000          0.041          0.000          0.000
   365    12    31  2021       1       1  Huron                     0.154         13.835          0.000          0.184          0.030          0.000          0.003          0.000          0.500          0.000          0.005          0.002          0.000          0.000          0.140          0.000          0.000
    31     1    31  2022       1       1  Huron                     0.062         13.835          0.000          0.062          0.000          0.000          0.005          0.000          0.500          0.000          0.002          0.004          0.000          0.000          0.062          0.000          0.000
    59     2    28  2022       1       1  Huron                     0.003         13.835          0.000          0.003          0.000          0.000          0.003          0.000          0.500          0.000          0.000          0.002          0.000          0.000          0.003          0.000          0.000
    90     3    31  2022       1       1  Huron                     0.153         13.835          0.000          0.182          0.029          0.000          0.004          0.000          0.500          0.000          0.007          0.003          0.000          0.000          0.141          0.000          0.000
   120     4    30  2022       1       1  Huron                     0.225         13.835          0.000          0.273          0.048          0.000          0.018          0.000          0.500          0.000          0.036          0.013          0.000          0.000          0.209          0.000          0.000
   151     5    31  2022       1       1  Huron                     0.315         13.835          0.000          0.377          0.062          0.000          0.068          0.000          0.500          0.000          0.076          0.049          0.000          0.000          0.291          0.000          0.000
   181     6    30  2022       1       1  Huron                     0.041         13.835          0.000          0.041          0.000          0.000          0.041          0.000          0.500          0.000          0.001          0.029          0.000          0.000          0.041          0.000          0.000
   212     7    31  2022       1       1  Huron                     0.010         13.835          0.000          0.011          0.001          0.000          0.021          0.000          0.500          0.000          0.000          0.015          0.000          0.000          0.009          0.000          0.000
   243     8    31  2022       1       1  Huron                     0.007         13.835          0.000          0.007          0.000          0.000          0.010          0.000          0.500          0.000          0.000          0.007          0.000          0.000          0.006          0.000          0.000
   273     9    30  2022       1       1  Huron                     0.070         13.835          0.000          0.083          0.012          0.000          0.005          0.000          0.500          0.000          0.000          0.004          0.000          0.000          0.063          0.000          0.000
   304    10    31  2022       1       1  Huron                     0.045         13.835          0.000          0.046          0.001          0.000          0.003          0.000          0.500          0.000          0.000          0.002          0.000          0.000          0.045          0.000          0.000
   334    11    30  2022       1       1  Huron                     0.006         13.835          0.000          0.006          0.001          0.000          0.002          0.000          0.500          0.000          0.000          0.001          0.000          0.000          0.006          0.000          0.000
   365    12    31  2022       1       1  Huron                     0.002         13.835          0.000          0.002          0.000          0.000          0.001          0.000          0.500          0.000          0.000          0.001          0.000          0.000          0.002          0.000          0.000
