 Huron                    
  SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2022       1    crgr                                             8197.271    3688.771     128.677      22.133
   365    12    31  2022       2    crgr                                             7127.252    3207.263     105.287      19.244
   365    12    31  2022       3    crgr                                             7574.868    3408.691     110.123      20.452
   365    12    31  2022       4    crgr                                             8670.430    3901.693     135.912      23.410
   365    12    31  2022       5    crgr                                             7291.940    3281.373     110.328      19.688
   365    12    31  2022       6    crgr                                             7986.750    3594.037     121.486      21.564
   365    12    31  2022       7    crgr                                             7559.355    3401.710     116.404      20.410
   365    12    31  2022       8    crgr                                             7409.166    3334.125     109.126      20.005
   365    12    31  2022       9    crgr                                             7625.589    3431.515     112.869      20.589
   365    12    31  2022      10    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      11    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      12    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      13    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      14    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      15    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      16    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      17    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      18    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      19    crgr                                             6373.793    2868.207      89.759      17.209
   365    12    31  2022      20    crgr                                             7150.662    3217.798     107.848      19.307
   365    12    31  2022      21    crgr                                             8381.743    3771.784     135.055      22.631
   365    12    31  2022      22    crgr                                             7533.115    3389.902     112.455      20.339
   365    12    31  2022      23    crgr                                             7909.569    3559.306     116.192      21.356
   365    12    31  2022      24    crgr                                             6636.683    2986.507      99.957      17.919
   365    12    31  2022      25    crgr                                             5524.630    2486.083      78.873      14.916
   365    12    31  2022      26    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      27    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      28    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      29    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      30    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      31    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      32    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      54    crgr                                             8492.557    3821.650     145.516      22.930
   365    12    31  2022      55    crgr                                             7917.598    3562.919     116.850      21.378
   365    12    31  2022      56    crgr                                             5794.806    2607.663     104.307      15.646
   365    12    31  2022      57    crgr                                             8060.210    3627.094     121.686      21.763
   365    12    31  2022      58    crgr                                             7937.771    3571.997     120.436      21.432
   365    12    31  2022      59    crgr                                             6339.708    2852.869      88.969      17.117
   365    12    31  2022      60    crgr                                             6230.109    2803.549      92.559      16.821
   365    12    31  2022      61    crgr                                             5884.291    2647.931     103.055      15.888
   365    12    31  2022      62    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      63    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      64    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      65    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      66    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      67    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      68    crgr                                             5518.404    2483.282      75.781      14.900
   365    12    31  2022      69    crgr                                             7668.083    3450.637     114.005      20.704
   365    12    31  2022      70    crgr                                             5532.207    2489.493      75.989      14.937
   365    12    31  2022      71    crgr                                             8587.657    3864.446     140.318      23.187
   365    12    31  2022      72    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      73    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      74    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      75    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      76    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      77    crgr                                             8178.026    3680.112     124.781      22.081
   365    12    31  2022      78    crgr                                             5066.854    2280.084      68.919      13.681
   365    12    31  2022      79    crgr                                             7947.065    3576.179     120.640      21.457
   365    12    31  2022      80    crgr                                             4981.287    2241.579      68.729      13.449
   365    12    31  2022      81    crgr                                             4998.219    2249.198      67.605      13.495
   365    12    31  2022      82    crgr                                             7661.559    3447.701     113.890      20.686
   365    12    31  2022      83    crgr                                             5671.430    2552.144      78.103      15.313
   365    12    31  2022      84    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      85    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      86    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      87    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      88    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      89    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      90    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      91    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      92    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      93    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      94    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022      95    crgr                                             7510.774    3379.848     109.621      20.279
   365    12    31  2022      96    crgr                                             6981.013    3141.456     102.860      18.849
   365    12    31  2022      97    crgr                                             6947.255    3126.265     105.508      18.758
   365    12    31  2022      98    crgr                                             8146.425    3665.891     121.071      21.995
   365    12    31  2022      99    crgr                                             7917.209    3562.744     130.089      21.376
   365    12    31  2022     100    crgr                                             7613.983    3426.292     118.175      20.558
   365    12    31  2022     101    crgr                                             4723.229    2125.453      64.326      12.753
   365    12    31  2022     102    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     103    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     104    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     105    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     106    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     107    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     108    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     109    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     110    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     111    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     112    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     113    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     114    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     115    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     116    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     117    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     130    crgr                                             5442.070    2448.931      74.442      14.694
   365    12    31  2022     131    crgr                                             5506.760    2478.042      75.418      14.868
   365    12    31  2022     132    crgr                                             7006.181    3152.781      99.174      18.917
   365    12    31  2022     133    crgr                                             4393.113    1976.901      63.105      11.861
   365    12    31  2022     134    crgr                                             6949.509    3127.279      97.979      18.764
   365    12    31  2022     146    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     147    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     148    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     149    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     150    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     151    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     152    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     153    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     163    crgr                                             5822.948    2620.327      80.273      15.722
   365    12    31  2022     164    crgr                                             6836.412    3076.385      96.168      18.458
   365    12    31  2022     165    crgr                                             7025.432    3161.444      98.538      18.969
   365    12    31  2022     166    crgr                                             5797.916    2609.062      79.260      15.654
   365    12    31  2022     167    crgr                                             6670.544    3001.745      92.688      18.010
   365    12    31  2022     168    crgr                                             6523.955    2935.780      88.425      17.615
   365    12    31  2022     169    crgr                                             6779.336    3050.701      99.434      18.304
   365    12    31  2022     170    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     171    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     172    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     173    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     174    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     175    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     176    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     177    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     178    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     179    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     180    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     197    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     198    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     199    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     200    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     201    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     202    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     203    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     204    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     205    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     206    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     207    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     208    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     209    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     210    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     211    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     212    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     213    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     214    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     215    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     216    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     217    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     218    crgr                                             6563.626    2953.632      91.538      17.722
   365    12    31  2022     219    crgr                                             5504.967    2477.235      75.406      14.863
   365    12    31  2022     220    crgr                                             6821.406    3069.633      99.516      18.418
   365    12    31  2022     221    crgr                                             5726.479    2576.916      77.935      15.461
   365    12    31  2022     222    crgr                                             7003.098    3151.394     103.719      18.908
   365    12    31  2022     223    crgr                                             6951.158    3128.021      99.402      18.768
   365    12    31  2022     224    crgr                                             6533.992    2940.297      93.896      17.642
   365    12    31  2022     225    crgr                                             7087.416    3189.337     104.293      19.136
   365    12    31  2022     232    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     233    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     234    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     235    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     236    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     237    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     238    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     239    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     240    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     247    crgr                                             7368.360    3315.762     111.693      19.895
   365    12    31  2022     248    crgr                                             5801.656    2610.745      79.957      15.664
   365    12    31  2022     249    crgr                                             6653.013    2993.855      95.529      17.963
   365    12    31  2022     250    crgr                                             7221.476    3249.664     105.971      19.498
   365    12    31  2022     251    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     252    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     253    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     254    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     255    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     256    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     257    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     258    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     259    past                                                0.000       0.000       0.000       0.000
   365    12    31  2022     266    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     267    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     268    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     269    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     279    crgr                                             6875.202    3093.841     101.119      18.563
   365    12    31  2022     280    crgr                                             7157.489    3220.870     107.967      19.325
   365    12    31  2022     281    tuhb                                                0.000       0.000       0.000       0.000
   365    12    31  2022     282    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     283    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     284    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     285    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     286    frsd                                                0.000       0.000       0.000       0.000
   365    12    31  2022     287    frsd                                                0.000       0.000       0.000       0.000
