like1,parlat_ttime,parcan_max,paresco,parepco,parcn3_swf,parperco,parpet_co,parlatq_co,parcn_a,parcn_b,parcn_c,parcn_d,pargw_flo,pardep_bot,pardep_wt,parflo_dist,parbf_max,paralpha_bf,parrevap,parrchg_dp,parspec_yld,parflo_min,parrevap_min,parfall_tmp,parmelt_tmp,parmelt_max_min,parmelt_lag,parsnow_h2o,parcov50,pardp,part_fc,parlag,parrad,pardist,pardrain,parpump,parlat_kast,parlai_noevap,parsw_init,parsurq_lag,parmsk_co1,parmsk_co2,parmsk_x,parevap_adj,parscoef,parsurq_exp,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,chain
0.63318205,99.95779,55.693867,0.5563433,0.5536725,0.5565205,0.5552294,1.0334744,0.5562104,52.266636,66.70852,81.08332,88.35426,1.1148716,30.06278,12.029543,115.953545,1.1583965,0.5548307,0.12013722,0.05614255,0.27738065,27.339891,27.34375,0.5625472,0.5669777,5.559636,0.55534333,278.89093,0.55581164,3338.7087,55.601086,55.723995,23.54009,20080.125,32.8122,5.56299,2.2284045,5.5538764,0.5560332,13.807337,5.562104,5.563433,0.1661234,0.7773363,0.5555649,2.1025112,0.01334,0.02716,0.03579,0.03953,0.04105,0.04063,0.04006,0.03943,0.03898,0.03925,0.03815,0.03773,0.03787,0.0392,0.08491,0.09052,0.1001,0.1328,0.1667,0.1836,0.2177,0.2285,0.2521,0.4962,0.2649,0.276,0.2856,0.5495,1.026,0.7941,0.7509,0.729,0.719,0.7173,0.7068,0.7082,0.7088,0.7052,0.7048,0.707,0.7156,0.7186,0.7175,0.7165,0.7189,0.7258,0.7265,0.769,0.7549,0.7534,0.7509,0.7525,0.7509,0.7513,0.8112,0.8,0.9593,0.8815,0.8849,0.8696,0.9245,0.9961,0.9459,0.9335,0.9249,0.9174,0.9139,0.9107,0.9033,0.902,0.8945,0.8891,1.002,1.091,1.034,1.021,1.025,1.004,0.9925,0.9839,0.9831,0.9763,1.012,0.985,0.9742,0.9897,0.9723,0.9593,0.9489,1.0
0.07346,167.81152,93.64259,0.9286156,0.9248038,0.9286407,0.92674106,1.2536887,0.92859685,67.403984,78.11858,88.65199,94.05929,1.8747096,47.177876,18.871777,188.10318,1.8722861,0.9266846,0.18783693,0.093791954,0.4599036,45.848152,45.934544,4.2860312,4.2866583,9.277035,0.92761564,468.70187,0.9285404,5614.708,93.45777,93.64686,37.4984,28595.836,48.253815,9.286094,3.7320607,9.276219,0.92857176,22.471378,9.285969,9.286157,0.2724652,0.95989734,0.927647,2.787115,0.05594,0.07714,0.07865,0.07789,0.07581,0.07526,0.0741,0.07289,1.0
0.50731045,93.113716,51.866165,0.51879406,0.5162383,0.5189866,0.5177569,1.0112625,0.51864964,50.739807,65.55764,80.3199,87.778824,1.0382305,28.336466,11.3394,108.67616,1.0863899,0.5173236,0.11330868,0.052345037,0.25897044,25.473053,25.468588,0.18697764,0.19179176,5.1846805,0.5177941,259.74564,0.5182164,3109.14,51.78267,51.898903,22.132183,19221.188,31.254677,5.187459,2.076738,5.178422,0.51845706,12.933437,5.1864963,5.1879406,0.15539724,0.7589223,0.51803476,2.0334587,0.01084,0.02305,0.03103,0.03547,0.03711,0.03743,0.0367,0.03677,0.03568,0.03498,0.03449,0.03524,0.03487,0.03576,0.07221,0.0743,0.0816,0.104,0.1308,0.1429,0.1692,0.1754,0.1945,0.2239,0.2186,0.2239,0.2291,0.2601,0.8399,0.6297,0.5944,0.5717,0.5619,0.5614,0.5543,0.5479,0.5482,0.5473,0.5491,0.5493,0.5472,0.55,0.5499,0.5539,0.5574,0.5595,0.556,0.6018,0.5826,0.582,0.5836,0.5838,0.5848,0.5867,0.6492,0.6307,0.7775,0.7034,0.7118,0.6964,0.7496,0.8164,0.7659,0.7594,0.7536,0.748,0.741,0.7392,0.7375,0.7356,0.7343,0.7319,0.8331,0.9133,0.8587,0.8458,0.8469,0.839,0.8292,0.8205,0.8133,0.8089,0.8478,0.8262,0.8168,0.8377,0.8199,0.8117,0.8062,1.0
1.7736942,138.03503,76.989426,0.7652501,0.761939,0.76534194,0.76370937,1.1570513,0.76518124,60.76121,73.111465,85.330605,91.55573,1.5412673,39.6672,15.869176,156.44151,1.5590074,0.7635027,0.15812804,0.077270135,0.37980643,37.72611,37.776283,2.652042,2.6543381,7.6457157,0.7642501,385.4065,0.7649746,4615.9233,76.84499,77.00504,31.373028,24858.857,41.477516,7.6522717,3.072206,7.6427307,0.7650894,18.669308,7.651812,7.652501,0.22579888,0.87978345,0.7643649,2.486688,0.03312,0.05448,0.06114,0.06208,0.06081,0.05989,0.05852,0.05754,0.05725,0.05696,0.05561,0.05505,0.0529,0.06143,0.9003,0.8537,0.855,1.732,1.988,1.946,2.063,2.039,2.088,2.196,2.123,2.104,2.084,2.17,6.826,6.059,3.812,3.455,3.272,3.141,3.043,2.952,2.864,2.777,2.695,2.616,2.531,2.453,2.381,2.314,2.245,2.182,2.117,2.062,1.996,1.942,1.888,1.837,1.794,1.743,1.779,1.716,1.994,1.845,1.812,1.76,1.819,1.908,1.812,1.759,1.723,1.687,1.66,1.636,1.6,1.575,1.542,1.513,1.693,1.851,1.733,1.685,1.677,1.65,1.621,1.61,1.584,1.571,1.631,1.589,1.578,1.613,1.584,1.569,1.554,1.0
0.013582245,18.063074,9.892412,0.107036725,0.10574298,0.10739756,0.1068409,0.7676913,0.1067661,33.996918,52.937374,71.948456,81.46869,0.1978005,9.406061,3.7714453,28.873995,0.29678172,0.10602902,0.03842842,0.010702355,0.057088193,5.001714,4.9059615,-3.931437,-3.922416,1.0729965,0.10603672,49.80239,0.10595422,591.7368,9.910718,9.953754,6.6933875,9802.26,14.175246,1.0694652,0.41359696,1.0612693,0.106405266,3.350446,1.0676609,1.0703672,0.037776325,0.556998,0.106487766,1.2762425,6.517e-05,0.0001812,0.0003492,0.0005997,0.0007986,0.00102,0.001276,0.001509,0.001753,0.002002,0.002268,0.002385,0.002642,0.002894,0.003907,0.003383,0.003576,0.004206,0.005299,0.00486,0.005849,0.005303,0.005922,0.007194,0.006129,0.006093,0.00612,0.007764,0.01413,0.009878,0.009772,0.009688,0.009864,0.01014,0.01013,0.01063,0.0107,0.01083,0.01088,0.01104,0.01165,0.01129,0.01153,0.01142,0.01166,0.01165,0.01175,0.01336,0.01242,0.01234,0.01235,0.01229,0.01253,0.01288,0.01588,0.01452,0.02192,0.01668,0.01716,0.01675,0.01994,0.02307,0.01962,0.01971,0.01954,0.01963,0.01973,0.01977,0.02013,0.02008,0.02017,0.02041,0.02692,0.02996,0.02533,0.02533,0.02653,0.02583,0.02599,0.02619,0.0262,0.02658,0.03043,0.02827,0.02815,0.0311,0.0294,0.02976,0.02999,1.0
0.15756693,65.86533,36.6269,0.36929873,0.36720115,0.36955237,0.36856702,0.9228299,0.36910847,44.661022,60.975647,77.28051,85.48782,0.73309845,21.463469,8.591728,79.70266,0.79970956,0.36799628,0.08612216,0.03722597,0.18567374,18.040594,18.002985,-1.3082811,-1.3019396,3.6918652,0.3682987,183.52225,0.36853775,2195.1548,36.58036,36.67002,16.526873,15801.49,25.053707,3.692353,1.4729071,3.6836214,0.36885482,9.454173,3.6910846,3.6929872,0.11269301,0.6856103,0.36861578,1.7585387,0.003799,0.009338,0.0144,0.01837,0.02094,0.02257,0.02311,0.02357,0.02363,0.02309,0.02285,0.02237,0.02232,0.02401,0.03698,0.03174,0.03429,0.04258,0.05316,0.05465,0.0643,0.0644,0.07075,0.08313,0.07635,0.07714,0.07807,0.09205,0.1498,0.1314,0.1351,0.1366,0.1391,0.1422,0.1438,0.1459,0.1474,0.1499,0.1514,0.1521,0.1584,0.1571,0.1578,0.1589,0.1601,0.1594,0.1611,0.1719,0.1672,0.1671,0.1674,0.167,0.1687,0.1696,0.1879,0.1828,0.2229,0.2044,0.2088,0.2066,0.2237,0.2459,0.232,0.2316,0.2314,0.2315,0.2329,0.2317,0.233,0.2344,0.2345,0.2349,0.2665,0.2904,0.2746,0.2752,0.2819,0.2783,0.2798,0.2803,0.2804,0.2815,0.2974,0.2904,0.2904,0.3025,0.2976,0.2973,0.2977,1.0
1.2548603,123.48147,68.85001,0.68540347,0.6823371,0.685528,0.6840259,1.1098188,0.6853101,57.514484,70.664185,83.707245,90.33209,1.3782939,35.996277,14.401624,140.96654,1.4058892,0.6837458,0.1436075,0.06919493,0.3406581,33.756374,33.788845,1.8534125,1.8565245,6.8483915,0.6844035,344.695,0.68503004,4127.7573,68.72533,68.87118,28.379187,23032.371,38.16553,6.8537235,2.7496953,6.844346,0.6851857,16.811005,6.8531013,6.854035,0.2029902,0.84062696,0.6845591,2.3398511,0.02444,0.04369,0.05199,0.05388,0.0531,0.0525,0.05192,0.05114,0.0502,0.04922,0.04888,0.04962,0.0484,0.05238,0.3681,0.352,0.3821,0.6205,0.7634,0.7923,0.9042,0.9122,0.9704,1.08,1.038,1.044,1.06,1.15,2.249,2.016,2.021,2.028,2.038,2.033,2.026,2.019,2.0,1.974,1.956,1.932,1.911,1.879,1.858,1.827,1.796,1.764,1.733,1.7,1.669,1.638,1.604,1.576,1.543,1.519,1.55,1.508,1.713,1.593,1.57,1.53,1.575,1.651,1.568,1.536,1.506,1.479,1.446,1.423,1.402,1.376,1.351,1.336,1.476,1.6,1.51,1.472,1.469,1.442,1.423,1.4,1.379,1.368,1.419,1.385,1.363,1.394,1.363,1.346,1.333,1.0
0.47657922,90.79853,50.57135,0.5060921,0.5035752,0.5062898,0.5050808,1.0037488,0.5059437,50.223316,65.16833,80.06166,87.58417,1.0123047,27.752495,11.105942,106.21441,1.0620319,0.5046359,0.11099876,0.051060434,0.2527427,24.841549,24.834267,0.059931725,0.06487562,5.057842,0.505092,253.26924,0.50549877,3031.4824,50.49099,50.60497,21.655924,18930.63,30.727806,5.060426,2.025433,5.051415,0.505746,12.637818,5.0594373,5.0609207,0.15176883,0.7526933,0.50533926,2.0101,0.01003,0.02165,0.02956,0.03398,0.03572,0.03606,0.03596,0.035,0.03475,0.03431,0.03409,0.03306,0.03323,0.03402,0.06806,0.07009,0.07623,0.09735,0.1218,0.1335,0.158,0.1645,0.1822,0.2088,0.2037,0.2079,0.2135,0.2428,0.7748,0.5807,0.5481,0.5298,0.5177,0.5235,0.5152,0.5109,0.5081,0.5072,0.5103,0.5129,0.5137,0.5148,0.5125,0.5148,0.5162,0.5205,0.5229,0.5619,0.543,0.5402,0.5454,0.5397,0.5407,0.5496,0.6102,0.5893,0.7337,0.6618,0.6649,0.6534,0.7076,0.774,0.726,0.7184,0.7109,0.7072,0.698,0.696,0.6939,0.6954,0.6941,0.6913,0.789,0.8634,0.8066,0.7998,0.8027,0.7875,0.7854,0.7772,0.7735,0.7703,0.806,0.7816,0.7752,0.7953,0.7728,0.7725,0.7657,1.0
0.87072575,110.734146,61.72079,0.6154667,0.61261463,0.6156197,0.614232,1.0684483,0.6153519,54.67071,68.52064,82.285355,89.26032,1.2355472,32.780956,13.116209,127.41217,1.2717746,0.6138876,0.13088912,0.06212193,0.30636847,30.279327,30.296293,1.1539016,1.1577281,6.150024,0.61446667,309.03622,0.6150075,3700.1772,61.61339,61.74681,25.756914,21432.57,35.2646,6.154284,2.4672115,6.1450496,0.61519885,15.183338,6.153519,6.154667,0.18301235,0.8063302,0.614658,2.2112384,0.01791,0.03452,0.04305,0.04609,0.04671,0.04619,0.04593,0.04444,0.04478,0.04394,0.04299,0.04309,0.04249,0.04386,0.1207,0.1312,0.1487,0.2006,0.454,0.4555,0.5249,0.5107,0.5475,0.623,0.5647,0.5622,0.5649,0.642,1.263,1.049,1.026,1.028,1.03,1.045,1.054,1.054,1.067,1.076,1.076,1.086,1.09,1.095,1.095,1.097,1.101,1.102,1.098,1.148,1.12,1.114,1.114,1.11,1.101,1.1,1.157,1.129,1.315,1.223,1.217,1.196,1.252,1.327,1.265,1.244,1.231,1.216,1.198,1.186,1.174,1.159,1.147,1.131,1.253,1.363,1.292,1.267,1.269,1.248,1.228,1.214,1.199,1.184,1.22,1.192,1.174,1.193,1.168,1.15,1.138,1.0
0.04414315,36.717422,20.325275,0.2093818,0.20777439,0.20970082,0.20897686,0.8282326,0.20914255,38.158474,56.074226,74.029236,83.03712,0.4066951,14.111341,5.652512,48.709366,0.4930442,0.20825909,0.05704042,0.021052927,0.1072674,10.090005,10.016942,-2.907777,-2.8998017,2.0949833,0.2083818,101.985214,0.20842478,1217.4545,20.318275,20.379507,10.530806,12143.398,18.420456,2.0930207,0.826982,2.0846157,0.20882355,5.7323637,2.0914254,2.0938182,0.0670118,0.6071876,0.20878057,1.4644537,0.0006024,0.00168,0.002953,0.004312,0.005641,0.006713,0.007678,0.008563,0.009205,0.009753,0.01024,0.01024,0.01042,0.01168,0.01564,0.0124,0.01296,0.01529,0.01858,0.01739,0.02054,0.0189,0.02083,0.02501,0.02141,0.02128,0.02115,0.02611,0.04517,0.03506,0.0352,0.03591,0.03609,0.03716,0.0371,0.03888,0.03839,0.03871,0.03888,0.03935,0.04121,0.04053,0.04044,0.04032,0.04069,0.04009,0.04097,0.04541,0.0428,0.04249,0.04257,0.04212,0.04227,0.04297,0.05157,0.04813,0.06647,0.05489,0.05665,0.0545,0.06315,0.07198,0.06418,0.06431,0.06364,0.06388,0.06404,0.06335,0.0632,0.06299,0.06285,0.06313,0.07872,0.08846,0.07886,0.07869,0.08203,0.08043,0.08035,0.0806,0.07993,0.08058,0.08917,0.08417,0.08419,0.09083,0.0872,0.0866,0.08707,1.0
