 Huron                    
  SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2020       1    crgr                                            11281.178    5076.530     136.989      30.459
   366    12    31  2020       2    crgr                                            10316.064    4642.229     128.191      27.853
   366    12    31  2020       3    crgr                                            10903.811    4906.714     133.766      29.440
   366    12    31  2020       4    crgr                                            12411.546    5585.195     152.834      33.511
   366    12    31  2020       5    crgr                                             8911.580    4010.211     128.093      24.061
   366    12    31  2020       6    crgr                                            11397.819    5129.019     141.003      30.774
   366    12    31  2020       7    crgr                                            10441.677    4698.754     131.472      28.193
   366    12    31  2020       8    crgr                                            10671.210    4802.044     129.833      28.812
   366    12    31  2020       9    crgr                                            11044.870    4970.191     129.610      29.821
   366    12    31  2020      10    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      11    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      12    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      13    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      14    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      15    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      16    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      17    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      18    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      19    crgr                                            10274.590    4623.565     127.416      27.741
   366    12    31  2020      20    crgr                                             8924.625    4016.081     128.025      24.096
   366    12    31  2020      21    crgr                                            11136.940    5011.623     135.668      30.070
   366    12    31  2020      22    crgr                                            10217.001    4597.651     125.161      27.586
   366    12    31  2020      23    crgr                                            10904.810    4907.164     133.782      29.443
   366    12    31  2020      24    crgr                                             9346.661    4205.997     119.573      25.236
   366    12    31  2020      25    crgr                                             9551.025    4297.961     120.976      25.788
   366    12    31  2020      26    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      27    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      28    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      29    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      30    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      31    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      32    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      54    crgr                                            11487.086    5169.188     156.481      31.015
   366    12    31  2020      55    crgr                                            11118.329    5003.248     131.499      30.019
   366    12    31  2020      56    crgr                                             8056.798    3625.559     128.882      21.753
   366    12    31  2020      57    crgr                                            10589.616    4765.327     141.608      28.592
   366    12    31  2020      58    crgr                                            10629.563    4783.303     133.680      28.700
   366    12    31  2020      59    crgr                                             7967.815    3585.517     112.506      21.513
   366    12    31  2020      60    crgr                                            10239.278    4607.675     132.199      27.646
   366    12    31  2020      61    crgr                                             8282.859    3727.287     129.746      22.364
   366    12    31  2020      62    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      63    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      64    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      65    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      66    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      67    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      68    crgr                                            10359.440    4661.748     122.802      27.970
   366    12    31  2020      69    crgr                                            11089.060    4990.077     129.744      29.940
   366    12    31  2020      70    crgr                                            10359.589    4661.815     122.805      27.971
   366    12    31  2020      71    crgr                                            11264.695    5069.113     146.428      30.415
   366    12    31  2020      72    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      73    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      74    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      75    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      76    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      77    crgr                                            10589.530    4765.288     141.605      28.592
   366    12    31  2020      78    crgr                                            10675.087    4803.789     125.627      28.823
   366    12    31  2020      79    crgr                                            10629.468    4783.260     133.679      28.700
   366    12    31  2020      80    crgr                                             9124.103    4105.846     115.191      24.635
   366    12    31  2020      81    crgr                                            10931.022    4918.960     132.956      29.514
   366    12    31  2020      82    crgr                                            11088.991    4990.045     129.742      29.940
   366    12    31  2020      83    crgr                                            10360.862    4662.388     122.821      27.974
   366    12    31  2020      84    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      85    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      86    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      87    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      88    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      89    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      90    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      91    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      92    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      93    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      94    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      95    crgr                                            10957.646    4930.941     133.407      29.586
   366    12    31  2020      96    crgr                                            10309.534    4639.291     128.070      27.836
   366    12    31  2020      97    crgr                                             9938.978    4472.540     124.800      26.835
   366    12    31  2020      98    crgr                                            11118.630    5003.383     131.503      30.020
   366    12    31  2020      99    crgr                                            10371.634    4667.235     134.581      28.003
   366    12    31  2020     100    crgr                                             9621.382    4329.622     121.798      25.978
   366    12    31  2020     101    crgr                                            10241.896    4608.853     122.012      27.653
   366    12    31  2020     102    frsd                                                0.000       0.000       0.000       0.000
