year,mon,Date,Q,COND,UKIH,Local,Fixed,Slide,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,Load_COND_min,Load_COND_max,Load_UKIH_min,Load_UKIH_max,Load_Local_min,Load_Local_max,Load_Fixed_min,Load_Fixed_max,Load_Slide_min,Load_Slide_max,Load_LH_min,Load_LH_max,Load_Chapman_min,Load_Chapman_max,Load_CM_min,Load_CM_max,Load_Boughton_min,Load_Boughton_max,Load_Furey_min,Load_Furey_max,Load_Eckhardt_min,Load_Eckhardt_max,Load_EWMA_min,Load_EWMA_max,Load_Willems_min,Load_Willems_max,Load_Q
2018,1,2018/1/1,61.78736015,33.77693595,24.39475591,24.39475591,29.05308502,42.33368627,24.39475591,31.17519932,31.13799113,30.14791254,30.1474105,30.15263067,31.4124262,30.14715774,10680.32665,14795.91924,7925.098801,10686.07404,6511.346421,10686.07404,11785.32583,12726.64579,13396.71391,17675.7746,6511.346421,10686.07404,12644.15293,13656.23371,12629.30061,13639.93474,12234.09292,13206.23279,12233.89252,13206.01288,12235.97625,13208.29956,12738.84631,13760.15047,12233.79163,13205.90215,25841.61205
2018,2,2018/2/1,864.1423882,165.997585,176.337679,278.9708159,277.5872195,285.736808,268.206862,188.1210511,193.4750068,133.5236443,125.7548263,133.8192321,114.5433739,129.5808765,34750.85219,50153.06247,38178.0777,53825.0222,78982.4271,119796.7986,82765.04875,119034.4063,85238.63942,120300.4162,43498.41898,66998.16243,48723.44188,57159.13701,49970.81879,58754.17511,34910.17389,35657.39345,33086.46525,33772.85839,34980.09847,35729.60683,30449.21743,31114.62752,33984.56169,34700.91389,261146.9939
2018,3,2018/3/1,703.3621626,156.9194621,250.3588978,273.4892569,255.4179599,246.0167667,222.2495433,280.0962181,283.0007593,224.3349122,219.5448528,224.699114,212.7991218,221.8836934,28903.63021,41007.6345,51603.58084,55930.65024,54270.14416,65662.86356,51494.2506,63589.90008,34738.41289,62642.07224,30897.28088,41868.8556,64961.89137,69286.09674,65521.43222,70105.83314,44412.72286,45775.0584,43495.87739,44792.03354,44496.37689,45861.84775,40332.80333,43313.04449,43941.99453,45270.67497,146476.7899
2018,4,2018/4/1,578.5698179,131.201174,175.168422,232.3979722,221.0696245,225.5153695,209.5620472,232.0227072,234.8534689,195.2243288,191.7083054,195.6758638,207.576121,193.4046305,25052.07697,36969.57586,18099.90838,18836.73746,39763.17666,48323.54315,30984.59936,46385.22177,26175.56146,47329.23296,20897.02717,21727.39305,31641.49933,46083.73239,31950.4477,46725.8979,21584.83766,25148.58293,21192.81964,24679.19998,21634.48163,25206.3428,24454.89528,31908.97421,21382.02813,24905.93533,124749.1803
2018,5,2018/5/1,319.3857173,129.1913541,142.6635871,166.5943822,160.9246415,165.8517729,154.5370474,161.6250482,162.7297412,143.5951536,141.7984807,143.7149199,166.3119592,142.6833102,23210.81715,32089.20028,12024.26313,20145.91814,21610.86511,27456.96725,20725.99377,25449.9153,21366.89871,26394.68493,12993.66255,19228.12717,20827.00562,39599.41458,20921.4596,40002.25643,14266.90941,23997.98386,14095.99978,23669.39665,14279.20444,24019.94609,19728.71017,38930.9658,14180.15775,23830.80114,79686.26743
2018,6,2018/6/1,248.3925502,106.0089495,85.29726506,90.8446927,90.5034747,95.65147748,89.6005531,109.8357624,111.1572207,101.9400569,100.4132516,102.0199484,103.4754358,101.1627634,19453.40471,28117.59643,6979.048763,10910.3108,11807.72722,12428.5455,11322.0064,18182.63492,11925.79679,19518.51412,9236.826497,10756.25421,21178.33067,36207.71181,21329.36542,36957.97056,15841.84787,25085.69979,15951.11104,25418.00337,16131.0114,26017.62756,16942.10373,25851.33691,16032.01004,25701.01137,161462.3329
2018,7,2018/7/1,81.49305399,42.75799589,57.57509036,58.4224026,56.86022878,57.55115984,53.54199429,56.66074203,56.8786457,55.14817435,54.86194019,55.15670266,58.79360295,55.00316965,6974.103282,9056.538631,5643.429982,6986.592293,5111.056735,6315.767221,5080.232233,6248.220892,4349.170168,6712.546684,5171.012134,5516.610466,5678.816327,7174.142493,5697.259737,7206.208524,4949.598859,6565.907391,4932.451985,6537.248101,4950.172671,6566.60531,6181.100018,7776.967466,4940.905323,6551.406147,13472.57325
2018,8,2018/8/1,159.6843636,52.2908074,50.07217291,53.12847287,56.36468395,57.93626896,54.72521143,53.07333011,53.91796136,42.33330268,41.10687269,42.39580245,54.88133756,41.7091205,9115.624703,12196.42038,4376.438095,6439.85282,4389.318128,6236.902334,4833.640657,6852.836998,4701.137386,6977.647013,5006.219046,6786.69443,5207.568121,8062.045928,5286.183582,8206.040805,2414.014252,4061.486406,2344.078308,3941.375125,2417.578239,4067.636984,5169.577525,6064.070846,2378.420888,4000.353392,28633.87286
2018,9,2018/9/1,96.80963653,44.63452463,34.54413843,37.17180699,44.0298654,40.63750713,39.08173188,40.42618236,40.93580386,35.51308405,34.86952407,35.54423881,38.41494041,35.18572999,7370.416355,10173.88344,2128.895039,2847.506412,2609.141165,2829.346233,2828.114965,3441.747926,2834.304801,3168.786751,2415.693846,3193.235571,3212.335882,3478.562348,3255.790655,3527.355776,2596.525145,3491.166194,2550.590776,3423.592268,2598.592192,3493.579345,2914.173975,3135.444861,2573.177529,3456.889438,15358.14905
2018,10,2018/10/1,231.294838,71.0909903,44.45293806,59.22381025,42.31952784,53.46220714,61.69217523,58.03809614,59.74834874,46.94803811,44.99831411,47.03455604,47.92767842,45.95717162,12008.86652,16469.15064,3329.971347,4848.848704,6750.916779,13381.09688,3320.467097,5425.400417,6817.555747,9356.577633,7149.841658,13119.64255,5704.967767,10782.97536,5835.123339,11333.1994,3429.32327,5580.037688,3289.505752,5227.433374,3435.562539,5590.780175,3811.054811,6806.703844,3358.262916,5401.386081,59514.3325
