Date,Q,COND,UKIH,Local,Fixed,Slide,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,Mean,Load_COND_min,Load_COND_max,Load_UKIH_min,Load_UKIH_max,Load_Local_min,Load_Local_max,Load_Fixed_min,Load_Fixed_max,Load_Slide_min,Load_Slide_max,Load_LH_min,Load_LH_max,Load_Chapman_min,Load_Chapman_max,Load_CM_min,Load_CM_max,Load_Boughton_min,Load_Boughton_max,Load_Furey_min,Load_Furey_max,Load_Eckhardt_min,Load_Eckhardt_max,Load_EWMA_min,Load_EWMA_max,Load_Willems_min,Load_Willems_max,Load_Mean_min,Load_Mean_max,Load_Q
2018-01-25,10.73208501,5.081650698,5.144315011,5.144315011,4.842180837,9.91089645,5.144315011,5.144315011,5.144315011,5.144315011,5.144315011,5.144315011,5.144315011,5.144315011,5.516352283,2226.006925,2226.006925,2253.456902,2253.456902,2253.456902,2253.456902,2121.107631,2121.107631,4341.448368,4341.448368,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2253.456902,2416.427085,2416.427085,4701.168374
2018-01-26,9.91089645,5.281747292,4.724544007,4.724544007,4.842180837,9.91089645,4.724544007,5.145067071,5.135767893,5.08028677,5.087312404,5.08054702,5.173391158,5.083795283,5.392739742,1556.129514,2313.658838,1391.964053,2069.577053,1044.993542,2069.577053,1932.84364,2121.107631,4075.994918,4075.994918,1044.993542,2069.577053,2053.746133,2253.78634,2050.034198,2249.712854,2027.88791,2225.409459,2030.692318,2228.487024,2027.991793,2225.523461,2065.052202,2266.19365,2029.288396,2226.946356,1463.028721,2362.278859,4075.994918
2018-01-27,15.17782999,8.015491337,4.296021781,4.296021781,4.842180837,9.91089645,4.296021781,5.196658037,5.246784442,5.077812115,5.023137394,5.0786076,5.234418235,5.050210617,5.295730923,2361.55612,3511.169949,1265.711121,1881.863749,950.2112817,1881.863749,1932.84364,2121.107631,2192.13172,4075.994918,950.2112817,1881.863749,2074.339595,2276.38566,2094.348452,2298.343431,2026.900106,2224.325441,2005.075707,2200.375289,2027.217638,2224.673902,2089.412258,2292.926439,2015.882471,2212.23466,1436.710616,2319.784339,6268.322363
2018-01-28,11.46832304,6.185409255,3.814973014,3.814973014,4.842180837,4.842180837,3.814973014,5.263709418,5.268840568,5.033610273,5.019690525,5.034725212,5.272445054,5.026485409,4.754065598,1822.370016,2709.506153,1123.982609,1671.141299,843.810991,1671.141299,1932.84364,2121.107631,1071.012926,1991.41466,843.810991,1671.141299,2101.104361,2305.757383,2103.152552,2308.005073,2009.256145,2204.962913,2003.699828,2198.865395,2009.701193,2205.451309,2104.591347,2309.584011,2006.412128,2201.841881,1289.75898,2082.508927,4746.2343
2018-01-29,8.381786712,5.059144477,3.364918389,3.364918389,4.842180837,4.105942815,3.364918389,5.249923535,5.22005834,4.956128535,4.975139538,4.957389885,5.291412038,4.965561863,4.55487438,1490.545382,2216.14812,991.3857156,1473.995771,744.266109,1473.995771,1932.84364,2121.107631,908.1688556,1688.626466,744.266109,1473.995771,2095.601478,2299.718505,2083.680248,2286.636116,1978.327915,2171.022193,1985.916499,2179.349924,1978.831406,2171.574724,2112.16236,2317.892461,1982.093398,2175.154443,1235.7192,1995.253612,3418.159675
2018-01-30,6.116438952,4.153492889,3.049983705,3.049983705,4.842180837,3.652873263,3.049983705,5.175526251,5.122224872,4.855759833,4.897815631,4.857045947,5.296444702,4.876789553,4.393884334,1223.718689,1819.429253,898.5983991,1336.039262,674.6075958,1336.039262,1932.84364,2121.107631,807.9571198,1502.29527,674.6075958,1336.039262,2065.904463,2267.128923,2044.628258,2243.780361,1938.263941,2127.055883,1955.05127,2145.478342,1938.777317,2127.619263,2114.171239,2320.097009,1946.658332,2136.26791,1192.043244,1924.732245,2631.732421
2018-01-31,4.842180837,3.295958475,2.853011311,2.853011311,4.842180837,3.426338487,2.853011311,4.842180837,4.842180837,4.744457099,4.797967261,4.745704474,4.842180837,4.771257099,4.201123475,971.0684698,1443.788018,840.5656045,1249.755899,631.0404538,1249.755899,1932.84364,1932.84364,757.8512519,1409.129672,631.0404538,1249.755899,1932.84364,1932.84364,1932.84364,1932.84364,1893.835451,1893.835451,1915.194996,1915.194996,1894.333363,1894.333363,1932.84364,1932.84364,1904.533154,1904.533154,1139.747994,1840.293736,1932.84364
2018-02-01,4.105942815,3.09815166,2.721574783,2.721574783,2.701427204,3.199803711,2.721574783,4.105942815,4.105942815,4.105942815,4.105942815,4.105942815,4.105942815,4.105942815,3.567296247,912.7898347,1357.139138,801.8412488,1192.180391,601.9687968,1192.180391,805.241421,1078.323294,707.745384,1315.964073,601.9687968,1192.180391,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,1617.675774,967.7932027,1562.646987,1617.675774
2018-02-02,3.652873263,2.891217567,2.627696411,2.627696411,2.701427204,3.001585782,2.627696411,3.652873263,3.652873263,3.652873263,3.652873263,3.652873263,3.652873263,3.652873263,3.263017922,851.8220844,1266.492073,774.1824273,1151.057157,581.2044029,1151.057157,805.241421,1078.323294,663.9027496,1234.444175,581.2044029,1151.057157,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,1423.393207,885.2437101,1423.393207,1423.393207
2018-02-03,3.426338487,2.67890079,2.553757806,2.553757806,2.701427204,2.8316847,2.553757806,3.426338487,3.426338487,3.426338487,3.426338487,3.426338487,3.426338487,3.426338487,3.098229561,789.2684662,1173.487133,752.3983397,1118.668499,564.8503665,1118.668499,805.241421,1078.323294,626.3233487,1164.569976,564.8503665,1118.668499,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,1210.785789,840.5372869,1210.785789,1210.785789
