 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    31     1    31  2018       1      10  aqu010                    0.000          3.164        341.764          3.014          0.151          0.315          0.977          0.000          0.500          0.000          0.486          0.705          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       2      20  aqu020                    0.000          3.248        337.613          0.969          0.048          0.315          0.279          0.000          0.500          0.000          0.178          0.201          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       3      30  aqu030                    0.000          3.331        333.428          0.437          0.022          0.345          0.418          0.000          0.500          0.000          0.238          0.302          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       4      40  aqu040                    0.000          3.256        337.173          0.651          0.033          0.315          0.892          0.000          0.500          0.000          0.647          0.644          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       5      50  aqu050                    0.000          3.299        335.015          0.603          0.030          0.315          0.558          0.000          0.500          0.000          0.234          0.403          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       6      60  aqu060                    0.000          3.329        333.514          0.416          0.021          0.332          0.282          0.000          0.500          0.000          0.241          0.204          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       7      70  aqu070                    0.000          3.316        334.164          0.683          0.034          0.374          0.399          0.000          0.500          0.000          0.245          0.288          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       8      80  aqu080                    0.000          3.304        334.790          0.597          0.030          0.349          0.604          0.000          0.500          0.000          0.454          0.436          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018       9      90  aqu090                    0.000          3.308        334.568          0.989          0.049          0.332          0.765          0.000          0.500          0.000          0.638          0.552          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018      10     100  aqu100                    0.000          3.317        334.149          0.840          0.042          0.337          0.654          0.000          0.500          0.000          0.497          0.472          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018      11     110  aqu110                    0.000          3.285        335.718          0.696          0.035          0.349          0.804          0.000          0.500          0.000          0.704          0.581          0.000          0.000          0.000          0.000          0.000
    31     1    31  2018      12     120  aqu120                    3.017          2.969        351.410          7.258          0.363          0.349          5.873          0.000          0.500          0.000          3.803          4.241          0.051          0.006          3.017          0.000          0.000
    31     1    31  2018      13     130  aqu130                    0.000          3.131        343.445          4.212          0.211          0.349          3.156          0.000          0.500          0.000          2.059          2.279          0.000          0.002          0.000          0.000          0.000
