 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    31     1    31  2018       1       1  Huron                     0.000         23.290       2735.384          0.953          0.045          0.338          0.698          0.000          0.500          0.000          0.588          0.504          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018       1       1  Huron                     0.001         23.281       2735.796          0.692          0.033          0.383          0.690          0.000          0.500          0.000          0.395          0.450          0.000          0.000          0.001          0.000          0.000
    90     3    31  2018       1       1  Huron                     0.000         23.280       2735.826          0.729          0.035          0.865          0.621          0.000          0.500          0.000          0.398          0.448          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       1       1  Huron                     0.003         23.277       2735.918          2.092          0.100          1.620          1.161          0.000          0.500          0.000          1.881          0.811          0.000          0.000          0.003          0.000          0.000
   151     5    31  2018       1       1  Huron                     0.035         23.270       2736.143          2.620          0.125          2.230          2.081          0.000          0.500          0.000          2.353          1.502          0.000          0.001          0.035          0.000          0.000
   181     6    30  2018       1       1  Huron                     0.020         23.271       2735.978          2.036          0.097          2.817          2.571          0.000          0.500          0.000          1.659          1.796          0.000          0.001          0.020          0.000          0.000
   212     7    31  2018       1       1  Huron                     0.000         23.305       2734.268          0.636          0.030          3.031          1.911          0.000          0.500          0.000          0.405          1.380          0.000          0.000          0.000          0.000          0.000
   243     8    31  2018       1       1  Huron                     0.000         23.357       2731.662          0.035          0.002          2.591          1.001          0.000          0.500          0.000          0.002          0.723          0.000          0.000          0.000          0.000          0.000
   273     9    30  2018       1       1  Huron                     0.000         23.401       2729.476          0.033          0.002          1.866          0.495          0.000          0.500          0.000          0.000          0.346          0.000          0.000          0.000          0.000          0.000
   304    10    31  2018       1       1  Huron                     0.000         23.430       2728.046          0.046          0.002          1.089          0.247          0.000          0.500          0.000          0.002          0.178          0.000          0.000          0.000          0.000          0.000
   334    11    30  2018       1       1  Huron                     0.000         23.440       2727.573          0.675          0.032          0.545          0.253          0.000          0.500          0.000          0.383          0.177          0.000          0.000          0.000          0.000          0.000
   365    12    31  2018       1       1  Huron                     0.000         23.429       2728.096          1.289          0.061          0.335          0.557          0.000          0.500          0.000          0.781          0.402          0.000          0.000          0.000          0.000          0.000
    31     1    31  2019       1       1  Huron                     0.027         23.408       2729.095          1.378          0.066          0.313          0.928          0.000          0.500          0.000          0.934          0.670          0.000          0.000          0.027          0.000          0.000
    59     2    28  2019       1       1  Huron                     0.031         23.392       2729.839          1.039          0.049          0.424          1.039          0.000          0.500          0.000          0.692          0.678          0.000          0.000          0.031          0.000          0.000
    90     3    31  2019       1       1  Huron                     0.031         23.386       2730.105          1.066          0.051          0.933          0.915          0.000          0.500          0.000          0.449          0.661          0.000          0.000          0.031          0.000          0.000
   120     4    30  2019       1       1  Huron                     0.021         23.384       2730.130          2.040          0.097          1.548          0.928          0.000          0.500          0.000          1.071          0.648          0.000          0.000          0.021          0.000          0.000
   151     5    31  2019       1       1  Huron                     0.069         23.357       2731.386          3.884          0.185          2.165          1.996          0.000          0.500          0.000          2.578          1.441          0.001          0.001          0.069          0.000          0.000
   181     6    30  2019       1       1  Huron                     0.081         23.334       2732.360          3.902          0.186          2.854          2.643          0.000          0.500          0.000          2.209          1.847          0.001          0.002          0.081          0.000          0.000
   212     7    31  2019       1       1  Huron                     0.015         23.330       2732.461          2.278          0.108          2.918          2.336          0.000          0.500          0.000          0.891          1.687          0.000          0.001          0.015          0.000          0.000
   243     8    31  2019       1       1  Huron                     0.000         23.354       2731.239          1.267          0.060          2.626          1.560          0.000          0.500          0.000          0.407          1.126          0.000          0.000          0.000          0.000          0.000
   273     9    30  2019       1       1  Huron                     0.000         23.380       2729.937          0.800          0.038          1.888          0.910          0.000          0.500          0.000          0.061          0.636          0.000          0.000          0.000          0.000          0.000
   304    10    31  2019       1       1  Huron                     0.007         23.396       2729.136          0.725          0.035          1.196          0.462          0.000          0.500          0.000          0.009          0.334          0.000          0.000          0.007          0.000          0.000
   334    11    30  2019       1       1  Huron                     0.011         23.400       2728.940          0.681          0.032          0.570          0.237          0.000          0.500          0.000          0.014          0.166          0.000          0.000          0.011          0.000          0.000
   365    12    31  2019       1       1  Huron                     0.016         23.395       2729.149          0.678          0.032          0.326          0.130          0.000          0.500          0.000          0.020          0.094          0.000          0.000          0.016          0.000          0.000
    31     1    31  2020       1       1  Huron                     0.008         23.389       2729.454          0.650          0.031          0.310          0.079          0.000          0.500          0.000          0.023          0.057          0.000          0.000          0.008          0.000          0.000
    60     2    29  2020       1       1  Huron                     0.013         23.384       2729.657          0.587          0.028          0.435          0.056          0.000          0.500          0.000          0.024          0.038          0.000          0.000          0.013          0.000          0.000
    91     3    31  2020       1       1  Huron                     0.011         23.384       2729.612          0.708          0.034          0.812          0.050          0.000          0.500          0.000          0.056          0.036          0.000          0.000          0.011          0.000          0.000
   121     4    30  2020       1       1  Huron                     0.037         23.385       2729.513          1.561          0.074          1.452          0.194          0.000          0.500          0.000          0.391          0.136          0.000          0.000          0.037          0.000          0.000
   152     5    31  2020       1       1  Huron                     0.124         23.387       2729.344          2.449          0.117          2.306          0.513          0.000          0.500          0.000          0.834          0.370          0.000          0.000          0.124          0.000          0.000
   182     6    30  2020       1       1  Huron                     0.151         23.391       2729.046          2.073          0.099          2.906          0.895          0.000          0.500          0.000          0.701          0.625          0.001          0.000          0.151          0.000          0.000
   213     7    31  2020       1       1  Huron                     0.000         23.430       2727.028          0.422          0.020          3.123          0.679          0.000          0.500          0.000          0.119          0.490          0.000          0.000          0.000          0.000          0.000
   244     8    31  2020       1       1  Huron                     0.000         23.486       2724.279          0.025          0.001          2.673          0.347          0.000          0.500          0.000          0.001          0.251          0.000          0.000          0.000          0.000          0.000
   274     9    30  2020       1       1  Huron                     0.000         23.531       2722.008          0.026          0.001          1.902          0.172          0.000          0.500          0.000          0.000          0.120          0.000          0.000          0.000          0.000          0.000
   305    10    31  2020       1       1  Huron                     0.000         23.562       2720.529          0.049          0.002          1.077          0.086          0.000          0.500          0.000          0.004          0.062          0.000          0.000          0.000          0.000          0.000
   335    11    30  2020       1       1  Huron                     0.000         23.576       2719.837          0.174          0.008          0.562          0.053          0.000          0.500          0.000          0.033          0.037          0.000          0.000          0.000          0.000          0.000
