 Huron                    
  SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2020       1    crgr                                            11009.144    4954.115     146.228      29.725
   366    12    31  2020       2    crgr                                             9770.128    4396.558     125.231      26.379
   366    12    31  2020       3    crgr                                            10306.809    4638.064     130.017      27.828
   366    12    31  2020       4    crgr                                            10839.766    4877.895     142.697      29.267
   366    12    31  2020       5    crgr                                             9394.802    4227.661     124.765      25.366
   366    12    31  2020       6    crgr                                            10592.468    4766.611     135.336      28.600
   366    12    31  2020       7    crgr                                            10098.312    4544.240     132.330      27.265
   366    12    31  2020       8    crgr                                            10104.617    4547.078     127.883      27.282
   366    12    31  2020       9    crgr                                            10201.188    4590.535     127.424      27.543
   366    12    31  2020      10    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      11    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      12    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      13    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      14    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      15    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      16    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      17    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      18    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      19    crgr                                             9555.841    4300.128     124.867      25.801
   366    12    31  2020      20    crgr                                             9393.472    4227.062     124.743      25.362
   366    12    31  2020      21    crgr                                            11308.661    5088.897     145.279      30.533
   366    12    31  2020      22    crgr                                             9672.389    4352.575     125.751      26.115
   366    12    31  2020      23    crgr                                            10307.094    4638.192     130.022      27.829
   366    12    31  2020      24    crgr                                             9398.263    4229.218     125.191      25.375
   366    12    31  2020      25    crgr                                             9637.756    4336.990     127.337      26.022
   366    12    31  2020      26    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      27    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      28    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      29    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      30    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      31    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      32    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      54    crgr                                            10864.607    4889.073     159.174      29.334
   366    12    31  2020      55    crgr                                             9314.832    4191.674     136.539      25.150
   366    12    31  2020      56    crgr                                             7072.949    3182.827     121.327      19.097
   366    12    31  2020      57    crgr                                            10596.865    4768.589     142.935      28.612
   366    12    31  2020      58    crgr                                            10269.618    4621.328     136.377      27.728
   366    12    31  2020      59    crgr                                             8563.597    3853.618     126.393      23.122
   366    12    31  2020      60    crgr                                             9355.253    4209.864     140.204      25.259
   366    12    31  2020      61    crgr                                             7536.824    3391.571     121.996      20.349
   366    12    31  2020      62    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      63    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      64    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      65    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      66    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      67    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      68    crgr                                             9373.929    4218.268     123.868      25.310
   366    12    31  2020      69    crgr                                             9516.235    4282.306     131.024      25.694
   366    12    31  2020      70    crgr                                             9373.751    4218.188     123.868      25.309
   366    12    31  2020      71    crgr                                            10639.288    4787.680     143.542      28.726
   366    12    31  2020      72    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      73    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      74    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      75    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      76    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      77    crgr                                            10596.955    4768.630     142.935      28.612
   366    12    31  2020      78    crgr                                             9173.746    4128.186     123.952      24.769
   366    12    31  2020      79    crgr                                            10269.606    4621.323     136.377      27.728
   366    12    31  2020      80    crgr                                             8800.795    3960.358     128.808      23.762
   366    12    31  2020      81    crgr                                            10151.277    4568.075     131.301      27.408
   366    12    31  2020      82    crgr                                             9516.742    4282.534     131.028      25.695
   366    12    31  2020      83    crgr                                             9374.849    4218.682     123.870      25.312
   366    12    31  2020      84    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      85    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      86    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      87    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      88    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      89    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      90    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      91    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      92    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      93    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      94    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020      95    crgr                                            10154.510    4569.529     131.365      27.417
   366    12    31  2020      96    crgr                                             9736.013    4381.206     125.169      26.287
   366    12    31  2020      97    crgr                                             9361.372    4212.617     129.979      25.276
   366    12    31  2020      98    crgr                                             9314.975    4191.739     136.542      25.150
   366    12    31  2020      99    crgr                                             9894.286    4452.428     140.453      26.715
   366    12    31  2020     100    crgr                                             9323.562    4195.603     129.571      25.174
   366    12    31  2020     101    crgr                                             9791.456    4406.155     122.362      26.437
   366    12    31  2020     102    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020     103    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020     104    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020     105    frsd                                                0.000       0.000       0.000       0.000
   366    12    31  2020     106    frsd                                                0.000       0.000       0.000       0.000
